"Home","Depan"
"Welcome","Selamat Datang"
"Search","Cari"
"search","cari"
"Logout","Keluar"
"Users","Anggota"
"Come on in!","Mari masuk!"
"Register","Daftar"
"register","daftar"
"About Us","Perihal Kami"
"How It Works","Bagaimana Bekerjanya"
"FAQ","Tanya-Jawab"
"Contact Us","Kontak Kami"

"hello, guest","halo, tamu"
"about","perihal"

"latest","terbaru"
"featured","pilihan"
"popular","populer"

"Comments","Komentar"

"Articles","Artikel"
"Latest Articles","Artikel Terbaru"
"Activity","Kegiatan"
"Activities","Kegiatan"
"Latest Activities","Aktivitas Terbaru"

"Profile","Profil"
"You are logged in as","Anda login sebagai"
"Test, comma","test, koma"
"Not Found","Tidak Ditemukan"
"We have millions page, but not what you&rsquo;re looking for","Anda salah ketik URL?"

"Save","Simpan"
"Submit","Kirim"

"Title","Judul"
"Excerpt","Ringkasan"
"Content","Isi"
"Tags","Tags"

"Deliverable","Hantaran"
"Need donation?","Butuh donasi?"
"Need volunteer?","Butuh relawan?"

"Slug - use alphabet and dash (-)","Slug - gunakan alfabet dan strip (-)"

"Username","Nama pengguna"
"Password","Kata Kunci"
"Repeat password","Ulangi kata kunci"
"I am a","Saya itu"
"Register","Daftar"


"New Article","Bikin Tulisan"
"New Activity","Bikin Aktivitas"
"New Page","Bikin Halaman"
"Edit Profile","Ubah Profil"
